reg,annee,pop
Guadeloupe,2022,383569
Grand Est,2022,5560079
Centre-Val de Loire,2022,2581597
Bretagne,2022,3422845
Bourgogne-Franche-Comté,2022,2803977
Auvergne-Rhône-Alpes,2022,8163884
Hauts-de-France,2022,5998916
Pays de la Loire,2023,3907156
Occitanie,2023,6124653
Nouvelle-Aquitaine,2023,6150451
Normandie,2023,3345842
Martinique,2023,360630
La Réunion,2023,889679
Hauts-de-France,2023,5992194
Corse,2023,355486
Guadeloupe,2023,384160
Grand Est,2023,5563378
Centre-Val de Loire,2023,2587031
Bretagne,2023,3449370
Bourgogne-Franche-Comté,2023,2802670
Auvergne-Rhône-Alpes,2023,8205557
Provence-Alpes-Côte d'Azur,2023,5218960
Guyane,2023,293996
Île-de-France,2023,12463067
